"protein","sd"
"BTN3A2",0.429117726445567
"C19orf12",0.745131890834088
"C1QA",0.258643964663944
"C1QTNF1",0.488559949549267
"C2",0.267652729118089
"C2CD2L",0.47637634164882
"C4BPB",0.462114384474515
"CA1",0.697768704003205
"CA11",0.355112721209911
"CA12",0.366605938617992
"CA13",1.15849124748194
"CA14",0.438535468489948
"CA2",0.814499465225662
"CA3",0.713354495896347
"CA4",0.274842350555806
"CA5A",1.0813091382906
"CA6",0.767250925243167
"CA9",0.52929737414213
"CALB1",0.501908982395718
"CALB2",0.358797909322592
"CALCA",0.855417765195112
"CALCOCO1",1.18922922339935
"CAMKK1",0.497973885690535
"CANT1",0.231608077227864
"CAPG",0.685604788916398
"CARHSP1",0.591523068993528
"CASP1",0.772983657825171
"CASP10",0.799228854951056
"CASP2",0.761782960806739
"CASP3",0.983140367982099
"CASP8",0.711421316733697
"CBLIF",0.838205464392937
"CBLN4",0.361577455512842
"CC2D1A",0.849441047618587
"CCDC80",0.442885296831622
"CCL11",0.453951050755903
"CCL13",0.789058245013284
"CCL14",0.457098373956091
"CCL15",0.50847661973894
"CCL16",0.639879981908302
"CCL17",1.0385548241201
"CCL18",0.826528566612875
"CCL19",1.39885619035067
"CCL2",0.603962635867902
"CCL20",1.01538963454251
"CCL21",0.471515773080191
"CCL22",0.607450767517428
"CCL23",0.490786183252639
"CCL24",0.946965747876824
"CCL25",0.570753369956577
"CCL26",1.03073605348713
"CCL27",0.722844840208459
"CCL28",0.670924130077277
"CCL3",0.717351584346016
"CCL4",0.75129535317097
"CCL5",1.15013846161671
"CCL7",0.69484941396895
"CCL8",0.693111331408109
"CCN1",0.875469552539132
"CCN2",0.645962687304806
"CCN3",0.413886207610816
"CCN4",0.463324457678028
"CCN5",0.500083800602729
"CCS",0.544444667655383
"CCT5",0.507232578875847
"CD109",0.377851211025086
"CD14",0.473919530514209
"CD160",0.534152832712927
"CD163",0.508006187029272
"CD164",0.300637537324757
"CD177",1.42486393782114
"CD1C",0.279129035485458
"CD200",0.305928785964342
"CD200R1",0.392933363411371
"CD207",0.436613629676072
"CD209",0.437788031898715
"CD22",0.49269643547076
"CD244",0.306495763015222
"CD27",0.474698354835291
"CD274",0.389229029407803
"CD276",0.413511656014644
"CD28",0.411822443218881
"CD2AP",0.72759631634937
"CD300C",0.404573310988656
"CD300E",0.494799270507332
"CD300LF",0.718157840158105
"CD300LG",0.437457445389443
"CD302",0.367426381748115
"CD33",0.894986865361265
"CD34",0.273365378463602
"CD38",0.433276344841289
"CD4",0.346086760718969
"CD40",0.563554334275831
"CD40LG",0.880346727342978
"CD46",0.322398427851566
"CD48",0.336876717363447
"CD5",0.397423919517846
"CD55",0.293824358294697
"CD58",0.199224008921691
"CD59",0.275947555997761
"CD6",0.615304678855473
"CD63",0.57841663328202
"CD69",0.976912808427033
"CD70",0.502602527264599
"CD74",0.418035515860304
"CD79B",0.514085516640569
"CD83",0.402764043564572
"CD84",0.351002106018172
"CD8A",0.565176337550147
"CD99",0.25487320330552
"CD99L2",0.283453614209794
"CDC27",0.68025156906982
"CDC37",0.942394194065828
"CDCP1",0.661672954473482
"CDH1",0.448689188839481
"CDH15",0.752913941409482
"CDH17",0.779130254200113
"CDH2",0.44808301990256
"CDH3",0.406911512229291
"CDH5",0.341141858400949
"CDH6",0.434541201961344
"CDHR1",0.480267412271765
"CDHR2",1.03943146186851
"CDHR5",0.450928665571554
"CDKN1A",1.20431928459881
"CDKN2D",1.05544060425766
"CDNF",0.370879535534115
"CDON",0.305410745825411
"CDSN",0.490329757328533
"CEACAM1",0.276195371027155
"CEACAM21",0.969376562139933
"CEACAM3",0.530657032809377
"CEACAM5",0.74953679379768
"CEACAM8",0.568717454518059
"CEBPB",0.417265252932351
"CELA3A",0.650156469083891
"CEP164",0.693782994370292
"CEP20",0.832273506147697
"CEP43",0.760867364291641
"CEP85",0.723004667393209
"CERT",0.680730231339787
"CES1",0.975974478268814
"CES2",0.638983048666936
"CES3",0.801516955324558
"CETN2",0.752623695232442
"CFC1",0.52551076140279
"CGA",1.28371868047821
"CGREF1",0.482974582080298
"CHAC2",0.670217940641203
"CHEK2",0.367535911729431
"CHGB",0.48007167744243
"CHI3L1",0.928314645879513
"CHIT1",1.7607081169506
"CHL1",0.348215570832428
"CHMP1A",0.876840382112322
"CHRDL1",0.400794064538168
"CHRDL2",0.616627764926037
"CIAPIN1",0.712114470326098
"CKAP4",0.315563930456411
"CKMT1A_CKMT1B",0.75507795333551
"CLC",0.758618229746982
"CLEC10A",0.410472140288358
"CLEC11A",0.541854175351122
"CLEC14A",0.36931763599394
"CLEC1A",0.372177631786325
"CLEC1B",1.08372966230376
"CLEC4A",0.400232503823143
"CLEC4C",0.53195919291453
"CLEC4D",0.7356022582436
"CLEC4G",0.383251192843582
"CLEC5A",0.34579402338428
"CLEC6A",0.536605195821886
"CLEC7A",0.677076775108369
"CLIP2",1.2771858214477
"CLMP",0.281128817570829
"CLPP",1.07443891299586
"CLPS",0.790371838011203
"CLSPN",0.385625458571336
"CLSTN1",0.576858558135261
"CLSTN2",0.446248600350914
"CLTA",0.517424821124406
"CLUL1",0.536880928334725
"CNDP1",0.521302545432304
"CNPY2",0.667676384009466
"CNPY4",0.845532858255266
"CNST",1.21453281526217
"CNTN1",0.332150098019741
"CNTN2",0.518018775260939
