"GeneID","CoefficientTraining"
"CTSK",-6.24940519724453e-05
"AMFR",-6.24595866750343e-05
"THAP7",-6.22036535026411e-05
"KLHL4",-6.20377952663594e-05
"PRNP",-6.20366353249686e-05
"EPB41L3",-6.19684942147394e-05
"TRPV4",-6.19225636266854e-05
"GNB2",-6.18859373623031e-05
"SPAG1",-6.18477391569223e-05
"MOSPD3",-6.18476713817424e-05
"YIPF6",-6.17763932650201e-05
"NCAPD3",-6.17068296475218e-05
"MRPL39",-6.14850347786854e-05
"KIAA1024",-6.1447921245334e-05
"MGRN1",-6.14396339902295e-05
"MLH1",-6.14310452524133e-05
"RNPS1",-6.14161253292191e-05
"CLTA",-6.1360253080975e-05
"DRICH1",-6.12885020859391e-05
"IQCB1",-6.11779902676934e-05
"MNAT1",-6.10546805220885e-05
"ADIPOR1",-6.08959644659827e-05
"PTPRO",-6.07944605776434e-05
"ZNF473",-6.07276915095416e-05
"CA5B",-6.07077177896454e-05
"MAN1C1",-6.0617879852558e-05
"FANCA",-6.06058175909893e-05
"SON",-6.04647758009417e-05
"ZFX",-6.03722393013977e-05
"SF3B3",-6.03384629992837e-05
"TMEM45A",-6.02341358056065e-05
"ZNF112",-6.02000957309306e-05
"TRA2B",-6.01070678547886e-05
"PFN1",-6.01053173990188e-05
"ATG7",-6.00976852557457e-05
"PAAF1",-6.0076250289644e-05
"BAX",-6.00629008751748e-05
"BCAS3",-6.00542751932105e-05
"KIAA0930",-5.99825957400277e-05
"PDGFB",-5.99706989752442e-05
"C1orf216",-5.99535093763492e-05
"TRMT2B",-5.99333514691559e-05
"BUB3",-5.98976968200299e-05
"PTH1R",-5.97780953908316e-05
"THYN1",-5.97661765931003e-05
"KYNU",-5.96978926251213e-05
"EIF2AK1",-5.96561614061658e-05
"UBE3B",-5.96187899271672e-05
"SERPINB6",-5.96023939753972e-05
"RFXAP",-5.94978187455192e-05
"JOSD1",-5.9364944842843e-05
"SRP14",-5.93369433190222e-05
"POPDC3",-5.93210354940852e-05
"XPC",-5.93181716927823e-05
"INTS7",-5.92479768917676e-05
"HLX",-5.91435378723477e-05
"KCNN2",-5.90868741339157e-05
