GeneID,CoefficientTraining
HERPUD2,0.05343
DNASE1L3,-0.03934
GPX7,-0.00017
B4GALT5,0.02015
SPDL1,-0.03137
SEPT5,0.0338
HSD17B8,-0.01404
DEFA4,0.01789
C12orf57,0.00185
TSPAN9,0.04421
GYG1,0.01461
CLEC2D,-0.01521
NOLC1,-0.04961
EIF4G3,0.04423
DUSP5,-0.01125
RPL4,0.01512
FGL2,0.03598
NCL,-0.03633
IDS,0.02536
PLOD1,-0.01432
GAMT,0.00808
EPRS,0.00564
FOXD2,0.02848
LMNA,0.03451
MAFB,0.02773
PDCD2L,-0.0353
KLF4,0.03329
ANKRD46,-0.02428
IL5RA,0.02863
AARS,0.00608
EPHA4,-0.04286
SQRDL,0.00935
RBM26,-0.05034
DNPH1,-0.00196
RPL19,0.039
S1PR5,-0.04156
ASGR1,0.02561
RPLP0,-0.01523
CCNB1IP1,-0.00192
TIGIT,0.05335
ZNF548,-0.01161
SMARCD3,0.02311
HLA-DOB,-0.01232
VIM,0.03901
ZNF573,-0.03651
CRISPLD2,0.01953
ZZZ3,-0.02595
MMP9,0.01232
NOL8,-0.02782
MTSS1,0.04878
CCT4,-0.02323
MBOAT1,0.04531
EIF2A,-0.01802
RPS25,0.01206
HMGB2,0.08507
ITGAM,0.0093
RPL13,-0.02437
ZNF329,-0.00264
TOP2B,-0.00469
CD7,-0.0052
TLE2,-0.01683
TSPO,0.00709
ITGB5,0.0264
PTPN7,0.04229
RPL8,-0.03988
SLFN5,-0.02067
PDCD4,-0.03065
ANKRD13A,0.05629
PRSS30P,0.02137
TSPAN17,0.03178
ZFAND1,-0.02198
AGPAT4-IT1,0.01328
IL10RA,0.04219
CD86,0.01282
MR1,0.05304
RPSAP15,0.02231
NUP88,0.0119
FAM159A,0.00429
WDR4,0.01245
CYP4F22,0.03423
TNFRSF13B,-0.02007
MRPL45,-0.01929
CCDC41,-0.03953
LSM5,-0.01797
ENTPD1,0.02698
CD5,0.01468
ANXA4,0.10959
TSPYL2,-0.03823
GABARAPL1,-0.00204
LTA,0.04439
GAR1,-0.00172
BZRAP1,-0.00695
MCCC1,-0.00015
NDST1,0.02523
NME1,-0.01146
ARHGEF40,0.03138
RALGDS,0.03791
NACC2,0.01391
RPUSD2,0.00129
EEF1B2,-0.00069
SERTAD2,-0.01086
NUP107,-0.03347
GFOD1,-0.03026
MGC24103,-0.0032
CHCHD10,-0.04903
RAB27A,0.0257
S100A9,0.02087
CAPNS1,0.02395
GNS,0.01887
H2AFY2,-0.01641
GBP1,0.02424
RAP1GAP2,0.01019
CD58,0.03219
CCT3,-0.0408
CPA5,-0.04719
NCAM1,0.04055
RAP2A,0.00171
GDPD5,0.01602
NBEAL2,0.01216
NOA1,0.01749
CAST,0.04303
CRLF3,-0.03601
ECHDC3,-0.00606
SLC9A9,0.0286
BRIX1,0.00466
ZDHHC9,-0.04566
SLAMF6,0.05325
RASGRP2,-0.03984
CD3D,-0.04006
NAA25,-0.01692
VPS9D1,-0.01863
NRG1,0.05437
FAM198B,0.02486
TRAT1,0.00962
RNASE3,0.01625
TOP1MT,0.02109
ESYT1,-0.01358
RRP1B,-0.02084
EIF3M,-0.00914
UPP1,0.02393
SLCO3A1,0.01666
CDKN1C,0.01311
DSC2,0.04215
URGCP,-0.01537
QPCT,0.03089
DBP,-0.04442
ANXA5,0.04181
ITGB1,0.05189
ARMCX2,-0.00494
RPAP2,-0.0268
ST13,-0.01969
SMDT1,-0.01152
TNFSF13B,0.00023
SEL1L3,0.01105
SIN3A,-0.02025
SPTLC2,0.02175
VOPP1,0.05884
RPS23,-0.03985
ZNF385A,0.01604
PRPSAP2,-0.02942
SEPT1,-0.02989
PPM1K,0.01952
HMGN1,0.00048
CDC14A,-0.01553
PAQR4,0.01415
DPYSL2,0.03078
NOC3L,-0.03298
IGIP,-0.02488
MFNG,-0.01056
MRTO4,-0.03811
ZBED5,-0.02688
TNFAIP6,0.015
TSPAN2,0.02389
MCTP1,0.02731
MRPL3,-0.04059
DUSP18,0.04191
CTSG,0.01539
CTSD,0.01513
ATP6V0E1,0.04366
CD151,0.01991
ITGA2B,0.01675
SLAIN1,-0.03857
GOLGA3,-0.01928
ZCCHC7,-0.00525
NPAT,-0.03711
PLAUR,0.0171
TNFRSF17,-0.03063
SLC38A11,-0.03826
TMEM156,-0.03476
MRPS27,-0.01858
C1QB,-0.02005
VCL,0.00705
MYL9,0.00948
ITFG2,-0.0487
FNTA,-0.00587
NAP1L1,-0.00073
ACAA2,0.04359
SMIM11,-0.00269
LTV1,-0.02339
PVRIG,-0.01595
MXRA7,-0.00061
MAPK14,0.04805
MTUS1,-0.03084
PPP2R5C,0.02742
RPS14,0.00448
DOK2,0.03873
RNF135,0.03429
KIAA0319L,0.01827
FEZ1,0.02098
C11orf1,0.00311
TIMM21,-0.0065
KDSR,-0.02009
NOP56,0.00265
SEC62,0.00554
LSM14A,-0.01968
NSG1,-0.03081
PSIP1,-0.0027
YTHDC1,-0.00924
PNPO,-0.05001
PRDM1,0.02414
SH2D1B,0.03885
UPF2,-0.0179
C5orf51,-0.0481
CUBN,-0.03328
S100A12,0.03894
NKRF,0.00782
UTP14A,-0.03311
OSBPL10,0.00865
ATXN1,0.06938
ORC5,-0.01759
SAMD14,0.02827
LAT,-0.02595
ADAP1,-0.01841
RAB24,0.00268
IFNG,0.02113
PLXDC2,0.0318
CDC42EP4,0.01819
DDX31,-0.04773
TBC1D31,-0.05402
ZCCHC11,0.01809
ABCC3,0.00629
BIRC3,0.04398
INADL,0.03791
SNRPA1,-0.02748
LUC7L,-0.04474
TNFAIP8,0.01697
DMXL2,0.03905
RNF144B,0.01394
LCMT2,0.0006
GALNT10,0.02037
CXCL16,0.01214
CMTM8,-0.01841
FGR,0.00278
TMEM123,-0.00421
HNRNPDL,-0.02507
FCRLA,0.01138
WBP1L,0.02273
TPD52,0.01906
TRMT11,-0.00598
BIN1,-0.01699
RAB30,-0.03759
C3orf37,-0.02632
PGD,0.02007
RABGGTB,-0.02442
MRPS31,0.00876
TTYH3,0.02264
EHD4,0.05454
NOP58,-0.04378
EIF3G,-0.02914
TNFRSF10A,0.00347
ZNF480,-0.05274
MRPS33,-0.0049
ZNF274,0.00181
AKR1C3,0.04012
SERPINB6,0.03884
HNRNPD,-0.02174
ZNF146,-0.01796
KIF13B,0.02351
IDH3A,-0.0557
NAE1,-0.00592
GBA,0.00173
NR4A2,0.0196
TRIM28,0.01211
NGFRAP1,-0.01806
DDX18,0.01199
TP53I11,-1e-05
HAPLN3,0.02761
C12orf65,-0.01289
KLF12,-0.0187
C16orf58,-0.00903
ADAM17,0.04498
LINC00152,0.01791
TNIP3,0.04144
DDX21,-0.02202
TOMM70A,-0.02927
SGPL1,0.0524
TSR1,-0.02637
PIK3CG,0.05139
ODF2L,-0.0377
PARP8,0.01664
DUSP22,0.02485
TPP2,-0.05893
FAM214B,0.03728
NPSR1,0.00339
DPH2,-0.02207
VSIG1,-0.0362
SERPINB1,0.01219
CSRP2BP,-0.01729
BAG3,0.04683
CLYBL,-0.00951
GPR183,0.05236
PHF14,-0.03672
F12,0.01697
NHP2L1,-0.01932
CLIC1,-0.00023
TCN2,0.01183
CAPN2,0.0742
UBXN4,-0.02412
DNMT3A,-0.04368
PARP9,0.00596
FAM46A,0.01479
ITM2A,-0.02157
KCNG1,-0.01513
TXNDC5,-0.02447
IFT74,-0.04221
ARHGAP19,0.02266
GP9,0.0187
SDCCAG3,-0.00407
RASGRP3,-0.00522
KDM1A,-0.04203
RPF2,-0.0016
XPO4,-0.02738
PGLYRP1,-0.00551
NFS1,-0.00871
ANP32B,0.003
FLVCR2,0.0072
FAM53B,0.02078
MST4,-0.04755
DCK,-0.04321
PHC2,0.01487
TMEM42,-0.00746
IRF9,0.01922
TFB1M,-0.02592
S100A8,0.03736
ZFP82,-0.00862
USP47,-0.01187
SRBD1,0.02119
CD97,-0.00158
CSRP1,0.0408
SPIB,-0.00613
IGHV5-78 ,-0.00726
CLEC4E,0.00796
MIR600HG,0.02039
MRI1,0.00435
TMEM220,-0.0511
MPHOSPH10,0.00171
ZNF347,-0.028
OTX1,0.06753
CLDND1,-0.01939
IL12RB1,0.03058
TCL1A,-0.02375
NKTR,0.01644
METTL22,0.01418
ZNF260,-0.01395
CEP95,0.01106
HP,0.0301
ST6GAL1,-0.00692
