Tissue,Protein,Coefficient
Conventional,REG1B,0.0086077152
Conventional,REG3A,0.0198358593
Conventional,REN,0.0790239076
Conventional,RET,-0.0249874059
Conventional,RNASE3,-0.0140298317
Conventional,SCARB1,-0.0045466641
Conventional,SCG2,-0.0368971878
Conventional,SCG3,-0.0516886087
Conventional,SDC4,-0.0622989197
Conventional,SELE,-0.0349554844
Conventional,SEZ6L,-0.0296368332
Conventional,SFTPD,0.0569300695
Conventional,SH2D1A,-0.0057194442
Conventional,SIGLEC5,0.0139892021
Conventional,SKAP1,-0.0540914541
Conventional,SLIT2,-0.0046459815
Conventional,SLITRK2,-0.0119513015
Conventional,SOD2,-0.0058035427
Conventional,SOST,-0.008870416
Conventional,SPON1,0.0508665314
Conventional,SSC4D,-0.0057521291
Conventional,ST3GAL1,-0.0097054518
Conventional,STC1,0.015655647
Conventional,STX6,-0.0136978496
Conventional,TAFA5,-0.0353365491
Conventional,TCL1B,-0.003002596
Conventional,TGM2,0.0083618299
Conventional,TNFRSF10B,0.0247896693
Conventional,TNFRSF6B,0.0319133376
Conventional,TNFSF11,-0.0048351892
Conventional,TNR,-0.1424907407
Conventional,TRIM21,-0.0281118596
Conventional,TSHB,-0.0065336313
Conventional,TSPAN1,0.0211821807
Conventional,VWA1,-0.022674827
Conventional,WASF3,0.0004368285
Conventional,WFDC2,0.07816366
Conventional,XG,-0.1185791768
