Tissue,Protein,Coefficient
Immune,CEACAM21,0.020671971
Immune,CEACAM3,-0.0059910484
Immune,CEACAM8,0.1653360314
Immune,CLC,0.0768985756
Immune,CLEC4D,0.0968713461
Immune,CORO1A,0.055915258
Immune,CSF2RA,0.0659518765
Immune,CST7,0.0138885861
Immune,CXCL1,-0.0007818506
Immune,CXCL13,0.1719204711
Immune,CXCL6,0.0244405011
Immune,DEFA1_DEFA1B,0.0569626815
Immune,DPEP2,-0.0305935495
Immune,FASLG,-0.620805666
Immune,FCAR,-0.031007111
Immune,FCGR2A,0.0750360044
Immune,FCGR3B,-0.1672882034
Immune,FCRL6,0.0152974714
Immune,FMNL1,-0.0639661328
Immune,FYB1,-0.0227771221
Immune,GNLY,0.0299919011
Immune,GZMA,-0.1220401226
Immune,GZMB,-0.0588158103
Immune,GZMH,0.1166256382
Immune,HBQ1,-0.0587903033
Immune,ICAM3,0.03268316
Immune,IL17RA,0.0048931661
Immune,IL18RAP,-0.0432801545
Immune,IL1R2,-0.2883410501
Immune,IL2RB,-0.0448314192
Immune,ITGAM,-0.6389227713
Immune,ITGB2,0.0752621172
Immune,KIR2DL3,0.1069465819
Immune,KIR3DL1,0.0010099199
Immune,LAT2,0.0070203231
Immune,LILRA2,-0.0444022969
Immune,LILRA5,0.011496118
Immune,LILRB1,-0.0689534137
Immune,LILRB2,0.1936231618
Immune,LRRC25,0.0723069158
Immune,LYN,-0.031908153
Immune,MMP8,0.0417689585
Immune,MMP9,0.2273404509
Immune,MNDA,-0.0358287287
Immune,MPO,0.0697542823
Immune,MZB1,0.1716928179
Immune,NCR1,0.0890268157
Immune,OSM,-0.1088094853
Immune,PADI4,0.052152863
Immune,PGLYRP1,0.0131106066
Immune,PILRA,0.2171117946
Immune,PRTN3,-0.0892099325
Immune,RETN,-0.0854270496
Immune,RNASE3,-0.0483922789
Immune,S100A12,0.0600980471
Immune,SELPLG,-0.1490490242
Immune,SIGLEC5,0.0314697467
Immune,SIGLEC7,0.6157671039
Immune,SIGLEC9,-0.0410166659
Immune,SIRPB1,0.0142882488
Immune,TNFRSF10C,0.0866428085
Immune,TNFRSF1B,0.3892269968
Immune,TREML2,-0.4541051162
Immune,VNN2,0.0145202726
Immune,VSIR,-0.0015559566
Immune,VSTM1,-0.0247268995
Immune,WAS,-0.0451926697
Artery,ACAN,-0.5979813032
Artery,BGN,-0.1249656296
Artery,CRLF1,0.0319864246
Artery,FRZB,0.0296207057
Artery,LTBP2,1.3368766493
Artery,MFGE8,0.1303581703
Artery,SOST,0.1649074847
Artery,THBS2,-0.0414627905
Artery,TNFRSF11B,0.6479231474
Liver,ADH4,-0.0309617246
Liver,AGXT,0.0046909019
Liver,AKR1C4,0.033353095
Liver,AMBP,1.0503117423
Liver,ANG,0.2557955194
Liver,ANGPTL3,-0.0161459356
Liver,APOH,0.0405025008
Liver,ASGR1,0.4432337439
Liver,C4BPB,-0.0871836985
Liver,CA5A,0.0079982983
Liver,CCL16,0.216777943
Liver,EPO,0.0872385242
Liver,F7,-0.5421514682
Liver,F9,0.3926638339
Liver,FETUB,-0.2282059924
